Unnamed: 0,country,capacity_mw,lat,lon,primary_fuel,Solar Generation (2017),province
20812,ESP,14.685,42.8261,-4.8463,Waste,5.11,Palencia
20813,ESP,24.0,42.9167,-8.7667,Wind,49.34,A Coruna
20814,ESP,18.0,37.5624,-5.1254,Gas,42.66,Cordoba
20815,ESP,100.0,37.5729,-5.1449,Solar,201.41,Cordoba
20816,ESP,19.903,37.4166,-6.2736,Solar,39.49,Sevilla
20817,ESP,150.0,37.4179,-6.2771,Solar,296.27,Sevilla
20818,ESP,11.02,37.4422,-6.2542,Solar,25.25,Sevilla
20819,ESP,50.0,38.755,-7.145,Solar,100.61,Badajoz
20820,ESP,46.14,42.8384,0.7390000000000001,Hydro,69.37,Lleida
20821,ESP,25.770000000000003,42.3746,-7.2351,Hydro,55.38,Ourense
20822,ESP,17.6,42.3094,-8.2049,Hydro,32.32,Pontevedra
20823,ESP,88.12,42.3167,-7.0274,Hydro,178.5,Ourense
20824,ESP,49.54,43.2518,-6.0163,Hydro,60.77,Asturias
20825,ESP,45.0,37.4712,-5.6461,Waste,15.67,Sevilla
20826,ESP,15.0,38.207,-3.5102,Waste,5.22,Jaen
20827,ESP,49.9,37.0066,-6.0434,Solar,102.1,Sevilla
20828,ESP,49.9,37.6485,-5.26,Solar,101.51,Sevilla
20829,ESP,100.0,37.9582,-4.4981,Solar,208.61,Cordoba
20830,ESP,312.41,42.3921,-7.2191,Hydro,596.24,Ourense
20831,ESP,299.76,38.1108,-4.9354,Coal,1367.42,Cordoba
20832,ESP,866.3,41.3366,2.1594,Gas,2053.41,Barcelona
20833,ESP,30.0,38.2793,-1.601,Solar,61.07,Murcia
20834,ESP,55.2,39.037,-5.2342,Hydro,55.4,Badajoz
20835,ESP,184.95,28.963,-13.5477,Oil,385.34,Las Palmas
20836,ESP,15.0,42.4496,-6.9476,Waste,5.22,Lugo
20837,ESP,100.0,37.648,-5.254,Solar,236.23,Sevilla
20838,ESP,50.0,37.648,-5.254,Solar,118.43,Sevilla
20839,ESP,9.9,41.467,-5.821000000000001,Solar,17.18,Zamora
20840,ESP,50.0,39.03,-4.02,Solar,105.29,Ciudad Real
20841,ESP,50.0,39.03,-4.02,Solar,105.29,Ciudad Real
20842,ESP,4.9,41.0536,-5.4377,Solar,8.93,Salamanca
20843,ESP,4.0,41.711999999999996,-1.249,Solar,6.78,Zaragoza
20844,ESP,4.5,41.3286,-4.8212,Solar,7.44,Valladolid
20845,ESP,4.0,38.7167,-1.8857,Solar,7.47,Albacete
20846,ESP,5.1,38.7218,-1.881,Solar,10.22,Albacete
20847,ESP,11.8,39.632,-3.09,Solar,24.03,Cuenca
20848,ESP,47.6,38.62,-3.9739999999999998,Solar,106.78,Ciudad Real
20849,ESP,36.46,42.4496,-6.9476,Hydro,63.95,Lugo
20850,ESP,9.5,37.961999999999996,-4.481,Solar,19.67,Cordoba
20851,ESP,49.5,42.3826,-7.5684,Wind,105.27,Ourense
20852,ESP,28.64,42.3826,-7.5684,Hydro,54.69,Ourense
20853,ESP,80.5,38.6478,-4.1214,Gas,190.81,Ciudad Real
20854,ESP,261.28,41.2422,0.4309,Hydro,344.24,Tarragona
20855,ESP,34.56,41.9781,-6.1404,Hydro,49.2,Zamora
20856,ESP,326.57000000000005,41.5278,-5.9877,Hydro,285.51,Zamora
20857,ESP,8.0,41.239,0.5336,Solar,15.81,Tarragona
20858,ESP,12.0,39.4751,-1.1546,Solar,26.15,Valencia/Val�ncia
20859,ESP,5.0,36.695,-6.284,Solar,11.28,Cadiz
20860,ESP,52.82,41.9443,-8.0349,Hydro,69.51,Ourense
20861,ESP,157.24,43.2364,-6.8475,Hydro,170.7,Lugo
20862,ESP,10.0,42.5741,0.1824,Gas,23.7,Huesca
20863,ESP,62.88,42.1795,-7.1122,Hydro,61.62,Ourense
20864,ESP,88.125,41.6494,-5.0253,Wind,171.54,Valladolid
20865,ESP,34.36,42.4171,-7.7498,Hydro,69.19,Ourense
